11	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	1785
11	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	415
11	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	717
11	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	124
11	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	275
11	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
11	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	124
11	[ 0.37572134 -0.56708063 -0.49310133 -0.11064967]	269
12	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	124
12	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	868
12	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	124
12	[ 0.37572134 -0.01624823 -0.95769237 -0.19613425]	119
12	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	415
12	[ 0.37572134 -0.56708063 -0.74786365 -0.11064967]	122
12	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	264
12	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	566
13	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	868
13	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
13	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
13	[ 0.37572134 -0.56708063 -0.80810944 -0.19613425]	129
13	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
13	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	415
13	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	264
13	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	264
14	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	566
14	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	566
14	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	415
14	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
14	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	264
14	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	415
14	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	868
14	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	415
15	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
15	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
15	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
15	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	1019
15	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	1019
15	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
15	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
15	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
16	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	264
16	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
16	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	717
16	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	1019
16	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	264
16	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
16	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
16	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	566
17	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	264
17	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	566
17	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	566
17	[ 0.37572134 -0.56708063 -0.32553368 -0.19613425]	113
17	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	264
17	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	717
17	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	1774
